City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Banda Aceh,80.2,broken clouds,5.5577,95.3222,Sulthan Hotel International
12,Hilo,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Georgetown,84.13,few clouds,5.4112,100.3354,Cititel Penang
18,Tabou,77.22,broken clouds,4.423,-7.3528,hotêl doufoulougou
23,Faanui,79.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Corn Island,83.12,scattered clouds,12.1694,-83.0418,Big Fish Guest House
31,Puerto Escondido,82.4,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
34,Vanimo,83.59,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
39,Ocos,86.31,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
48,Pundaguitan,83.01,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
49,Sinnamary,77.88,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
50,Eyl,77.25,few clouds,7.9803,49.8164,Amiin Hotel
54,Byron Bay,87.71,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
57,Lompoc,78.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
58,Ternate,84.96,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
60,Flinders,81.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
68,Pangai,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
74,Atuona,77.85,clear sky,-9.8,-139.0333,Villa Enata
76,Port Blair,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Doka,75.74,few clouds,13.5167,35.7667,
80,Itaporanga,82.11,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
84,Samarai,83.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
94,Ambon,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
97,Muisne,75.88,light rain,0.6,-80.0333,Quinta Samay
98,Kapaa,82.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
101,Vaini,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
103,Victoria,80.26,broken clouds,22.2855,114.1577,Mini Hotel Central
106,Champerico,86.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
110,Acapulco,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
115,Butaritari,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
121,Bara,78.21,broken clouds,10.3744,10.7288,
122,Maragogi,76.55,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
123,Ulladulla,81.88,broken clouds,-35.35,150.4667,Sandpiper Motel
128,La Palma,85.01,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
130,Tual,83.88,clear sky,-5.6667,132.75,Grand Vilia Hotel
132,Barabai,86.13,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
136,Ixtapa,81.63,few clouds,20.7,-105.2,Hotel Plaza Providencia
137,Kavaratti,79.03,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,Taoudenni,85.28,overcast clouds,22.6783,-3.9836,
139,Puerto El Triunfo,78.96,scattered clouds,13.2833,-88.55,Hotel Jardin
141,Phangnga,84.9,overcast clouds,8.4509,98.5298,Sunimit Mansion
145,Mucurapo,78.26,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
146,Tomatlan,78.66,overcast clouds,19.9333,-105.25,El Salvial
152,Bourail,80.76,overcast clouds,-21.5667,165.4833,Motel Allamanda
154,Itarema,80.01,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
157,Avarua,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
161,Neiafu,81.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
163,Sokoni,78.13,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
164,Praia,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
171,Dingle,82.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
175,Wewak,84.74,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
181,Kavieng,85.75,light rain,-2.5744,150.7967,Nusa Island Retreat
183,Meulaboh,77.07,overcast clouds,4.1363,96.1285,Kost Pria
186,Lorengau,84.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
191,Bonthe,77.27,moderate rain,7.5264,-12.505,Bonthe Holiday Village
192,Sao Raimundo Nonato,79.59,clear sky,-9.0153,-42.6994,Real Hotel
196,Songkhla,77.05,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
197,Hithadhoo,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
206,Ewa Beach,83.57,broken clouds,21.3156,-158.0072,Uncle Junior Robert
210,Bengkulu,78.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Karratha,82.4,clear sky,-20.7377,116.8463,ibis Styles Karratha
214,Nouakchott,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
218,Gorontalo,87.15,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
219,Bridgetown,81.09,few clouds,13.1,-59.6167,Hilton Barbados Resort
226,Moroni,77.25,light rain,-11.7022,43.2551,Hotel les Arcades
232,Dubbo,82.53,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
234,Luanda,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
239,Porto Novo,80.42,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
242,Nanakuli,83.57,broken clouds,21.3906,-158.1547,Camp Pālehua
244,Kara,76.51,scattered clouds,9.5511,1.1861,Hotel Ma Vision B2K
246,Labuhan,83.01,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
253,Batemans Bay,84.2,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
254,Sao Filipe,79.05,overcast clouds,14.8961,-24.4956,Hotel Xaguate
256,Marakkanam,77.56,light rain,12.2,79.95,OYO 73765 Ocean Breeze Guest House
269,Atar,79.05,overcast clouds,20.5169,-13.0499,Oumou Elghoura
271,San Andres,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
272,Kralendijk,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
274,San Patricio,77.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
277,Alta Gracia,80.89,overcast clouds,-31.6529,-64.4283,Hotel Ritz
287,Dhidhdhoo,81.01,overcast clouds,6.8833,73.1,Dhidhoo beach
291,Sungairaya,82.45,light rain,0.7,108.9,Mess P.Milu
293,Iracoubo,78.49,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
294,Kulhudhuffushi,80.74,overcast clouds,6.6221,73.07,Haajy Guest House 1
300,Sur,76.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
301,Santa Rosa,85.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
303,Alugan,81.45,overcast clouds,12.2188,125.4808,JM Lodge
306,Bathsheba,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
307,Barranco,77.99,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
312,Merauke,88.03,few clouds,-8.4667,140.3333,
314,Axim,76.86,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
322,Nelson Bay,88.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
326,Singaraja,83.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
327,Dwarka,79.84,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
330,Koumac,80.08,few clouds,-20.5667,164.2833,Le Monitel
340,Hambantota,78.96,overcast clouds,6.1241,81.1185,Bungalow 63
341,Jibuti,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
343,San Pedro De Macoris,78.93,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
344,Picota,77.49,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
353,Champasak,76.08,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
