City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Yeniseyskiy,60.3725,93.0408,18.14,88,100,10.94,overcast clouds
1,Cidreira,-30.1811,-50.2056,67.8,89,0,12.28,clear sky
2,Mehamn,71.0357,27.8492,28.89,72,17,15.1,few clouds
3,Albany,42.6001,-73.9662,50.81,76,100,4.83,overcast clouds
4,Trapani,37.8333,12.6667,62.69,94,20,1.14,few clouds
5,Yellowknife,62.456,-114.3525,38.41,100,90,3.44,light rain
6,Sitka,57.0531,-135.33,42.69,81,90,21.85,moderate rain
7,Port Lincoln,-34.7333,135.8667,62.51,83,51,18.25,broken clouds
8,Cape Town,-33.9258,18.4232,62.11,87,40,11.5,light rain
9,Vilhena,-12.7406,-60.1458,72.19,79,53,2.39,heavy intensity rain
10,Armidale,-30.5167,151.65,74.8,40,22,13.71,few clouds
11,Banda Aceh,5.5577,95.3222,80.2,77,71,3.56,broken clouds
12,Hilo,19.7297,-155.09,80.33,70,20,5.75,few clouds
13,Bambous Virieux,-20.3428,57.7575,70.21,88,20,5.75,few clouds
14,Georgetown,5.4112,100.3354,84.13,86,20,5.75,few clouds
15,Beringovskiy,63.05,179.3167,9.73,77,20,13.47,few clouds
16,Puerto Ayora,-0.7393,-90.3518,68.56,94,30,4.0,scattered clouds
17,Saint George,37.1041,-113.5841,64.26,41,1,1.99,clear sky
18,Tabou,4.423,-7.3528,77.22,88,66,4.88,broken clouds
19,Evensk,61.95,159.2333,13.28,90,100,4.81,overcast clouds
20,Bluff,-46.6,168.3333,58.1,72,0,12.66,clear sky
21,Nyurba,63.2842,118.3319,25.54,73,99,14.0,overcast clouds
22,Iqaluit,63.7506,-68.5145,28.13,92,75,0.0,broken clouds
23,Faanui,-16.4833,-151.75,79.5,79,31,9.6,light rain
24,Talin,59.437,24.7535,46.74,89,75,10.36,broken clouds
25,Bethel,41.3712,-73.414,54.05,85,1,1.01,clear sky
26,Esperance,-33.8667,121.9,57.29,66,69,23.2,broken clouds
27,Corn Island,12.1694,-83.0418,83.12,72,30,7.47,scattered clouds
